id,address,date,listing_id,listing_title,price,bedrooms,square_ft,city,state,CL_region,zip_code,coordinates,latitude,longitude,created_at,updated_at
440, ,Nov 5,5275047039,Affordable Studio Unit,375,2, ,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:18.284698,2015-11-19 22:55:18.284698
441, ,Nov 5,5301632186,"""1 Bed"," Apt for RENT on BUCHTEL""",525,2, ,Akron,,,,41.0814447,-81.5190053,2015-11-19 22:55:18.428534,2015-11-19 22:55:18.428534
442,616 Grifton Avenue,Nov 5,5301621384,GOODYEAR HEIGHTS APT. FOR RENT,395,1, ,akroncanton,Ohio,,,,40.4172871,-82.907123,2015-11-19 22:55:18.568242,2015-11-19 22:55:18.568242
443, ,Nov 5,5301630298,"""Spacious 3 Bedroom"," 1 Bath HOUSE for RENT on GIBBS""",550,4,1120,Canton,,,,29.4241522,-98.44337,2015-11-19 22:55:18.734002,2015-11-19 22:55:18.734002
444, ,Nov 5,5301624848,Newley Renovated DUPLEX for RENT on HAZLETT,575,2, ,Canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:18.861456,2015-11-19 22:55:18.861456
445, ,Nov 5,5262681492,ROOMMATE IN TWINSBURG,600,3,1466,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:18.999244,2015-11-19 22:55:18.999244
446, ,Nov 5,5301629763,$505 a Month 1 bdrm,505,1, ,Cuyahoga,Ohio,,,,41.433923,-81.67582,2015-11-19 22:55:19.125626,2015-11-19 22:55:19.125626
447, ,Nov 5,5301605906,Cuyahoga Falls House for Rent,725,4, ,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:19.259155,2015-11-19 22:55:19.259155
448, ,Nov 5,5301575378,FANTASTIC 2BR | 2BA $600 - NOW AVAILABLE,600,3, ,Canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:19.392006,2015-11-19 22:55:19.392006
449, ,Nov 5,5301617840,Nice FULLY RENOVATED - 3 Bed House for Rent on MAPLE,600,3, ,Wooster,Ohio,,,,40.8050565,-81.935143,2015-11-19 22:55:19.538006,2015-11-19 22:55:19.538006
450, ,Nov 5,5301611646,"""1 Bedroom", 2nd floor," Quiet Location""",600,1, ,,,,33.0239032,39.5873451,2015-11-19 22:55:19.683962,2015-11-19 22:55:19.683962
451, ,Nov 5,5301586269,Two Bedroom NEW CARPET $250 OFF FIRST MONTHS RENT,709,2, ,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:19.820347,2015-11-19 22:55:19.820347
452, ,Nov 5,5301597576,"""Large 4 Bedroom"," 2 Bath Duplex for RENT on Adolph.""",700,2, ,Akron,,,,41.0814447,-81.5190053,2015-11-19 22:55:19.959951,2015-11-19 22:55:19.959951
453, ,Nov 5,5301612417,Charming 3 Bedroom HOUSE for RENT on S. MAPLE,650,3, ,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:20.093196,2015-11-19 22:55:20.093196
454, ,Nov 5,5301604308,3 Bedroom HOUSE for RENT on BELLEVUE,650,2, ,Cleveland-Massillon,Ohio,,,,40.7828417,-81.522297,2015-11-19 22:55:20.225447,2015-11-19 22:55:20.225447
455, ,Nov 5,5276408627,Kitchenette,190,2, ,Zahn,Ohio,,,,41.1234227,-81.5720191,2015-11-19 22:55:20.370327,2015-11-19 22:55:20.370327
456, ,Nov 5,5301614005,West Akron 2 Bedroom Apartment,495,1, ,Canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:20.496957,2015-11-19 22:55:20.496957
457, ,Nov 5,5301618874,$100 off rent one mo in2 bed in JACKSON on CASPER,575,3, ,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:20.628507,2015-11-19 22:55:20.628507
458, ,Nov 5,5301616556,"""Cute 3 bedroom"," 1 bath HOUSE for RENT on INMAN""",600,2, ,Kent,,,,51.2787075,0.5217254,2015-11-19 22:55:20.756974,2015-11-19 22:55:20.756974
459, ,Nov 5,5301614584,Nice 2 Bedroom apt. Silver Meadows kent,650,2, ,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:20.893741,2015-11-19 22:55:20.893741
460, ,Nov 5,5301598759,"""Cute 2 bedroom"," 1 bath house for RENT on FORD""",675,1, ,Akron/Coventry,,,,41.0442821,-81.5049265,2015-11-19 22:55:21.025224,2015-11-19 22:55:21.025224
461, ,Nov 5,5277251964,==>*Phenomenal SPECIAL SAVINGS! Spacious & Efficient Use of Space!**,725,3, ,Massillon,Ohio,,,,40.7967244,-81.5215093,2015-11-19 22:55:21.154929,2015-11-19 22:55:21.154929
462, ,Nov 5,5301602426,"""Great 3 Bedroom"," 1 bath house for RENT on WOODLAND""",675,2, ,Akron,,,,41.0814447,-81.5190053,2015-11-19 22:55:21.291943,2015-11-19 22:55:21.291943
463, ,Nov 5,5301571185,Wake up to a Lake View,610,2, ,Jackson,Ohio,,,,39.0520169,-82.6365536,2015-11-19 22:55:21.41506,2015-11-19 22:55:21.41506
464, ,Nov 5,5301595054,"""Charming 2 bedroom"," 1 bath DUPLEX in JACKSON for RENT on PERRY""",775,3, ,canton,,,,23.12911,113.264385,2015-11-19 22:55:21.552331,2015-11-19 22:55:21.552331
465, ,Nov 5,5301593881,The Pride of Canton! Hurry get it before it's gone!,800,2, ,Kent,Ohio,,,,41.1536674,-81.3578859,2015-11-19 22:55:21.680022,2015-11-19 22:55:21.680022
466, ,Nov 5,5301589851,!HALF OF DEPOSIT! 3 Bed Kent Apt for RENT on Silvermeadows Blvd,850,3, ,Canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:21.803981,2015-11-19 22:55:21.803981
467, ,Nov 5,5301570090,"""Cute 2 Bedroom"," Plain twp HOUSE for RENT on MIDVALE""",1400,2, ,North,,,,22.5009081,114.1558258,2015-11-19 22:55:21.942025,2015-11-19 22:55:21.942025
468, ,Nov 5,5301568143,"""2 Bed"," 2 Bath CONDO for RENTon WHITEWOOD in North Canton""",550,3,2500,Akron,,,,40.6703273,-111.820314,2015-11-19 22:55:22.110024,2015-11-19 22:55:22.110024
469,"""2462 Eastlawn Ave.", Akron," OH""",Nov 5,5301555667,** AKRON - SW -- Rhodes Ave 3 Bd $550.00 **,575,3,1638,,,,41.070733,-81.4357361,2015-11-19 22:55:22.286988,2015-11-19 22:55:22.286988
470, ,Nov 5,5290927055,------------ ◆ brick duplex ◆ ------------,1150,4,2400,North,Ohio,,,,40.3838118,-81.1085744,2015-11-19 22:55:22.420665,2015-11-19 22:55:22.420665
471, ,Nov 5,5301569189,"""Great 3 Bed"," 1 Bath HOUSE for RENT on LINDY""",825,2,925,Canton,,,,29.4242418,-98.4463891,2015-11-19 22:55:22.604834,2015-11-19 22:55:22.604834
472, ,Nov 5,5301573304,2 Bed DUPLEX in JACKSON for RENT on FULTON,1650,2,925,Uniontown,Ohio,,,,40.9750568,-81.4081673,2015-11-19 22:55:22.740131,2015-11-19 22:55:22.740131
473,"""6153 Island Dr NW"," Canton Ohio""",Nov 5,5301567186,"""Awesome 3 Bedroom"," 2 1/2 Bath HOUSE for RENT on SALEM""",1135,2, ,,,,48.3000637,-122.6796061,2015-11-19 22:55:22.884088,2015-11-19 22:55:22.884088
474, ,Nov 5,5301565534,Jackson Township 3 BR Duplex,1950,2,1050,Cuyahoga,Ohio,,,,41.433923,-81.67582,2015-11-19 22:55:23.01267,2015-11-19 22:55:23.01267
475,"""403 Aultman Ave. NW"," Canton OH""",Nov 5,5272248988,New Homes for Rent,525,4, ,akroncanton,,,,40.9230044,-81.4194954,2015-11-19 22:55:23.19621,2015-11-19 22:55:23.19621
476,"""403 Aultman Ave. NW"," Canton OH""",Nov 5,5301559914,Two bedroom apartment,525,2, ,akroncanton,,,,40.9230044,-81.4194954,2015-11-19 22:55:23.332619,2015-11-19 22:55:23.332619
477, ,Nov 5,5301550446,Two bedroom apartment,590,5, ,Akron,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:23.453587,2015-11-19 22:55:23.453587
478, ,Nov 5,5301548990,2BR Firestone Park Duplex,745,2, ,Merriman,Ohio,,,,41.1140101,-81.5407714,2015-11-19 22:55:23.597454,2015-11-19 22:55:23.597454
479, ,Nov 5,5301535624,"""Tennis Court", Dish Washer," Cable/satellite""",600,2, ,,,,18.4338406,-66.6133213,2015-11-19 22:55:23.753425,2015-11-19 22:55:23.753425
480, ,Nov 5,5287402538,3 or 4 BR $600/month 916 Highland Rd NE,600,2, ,Canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:23.889665,2015-11-19 22:55:23.889665
481, ,Nov 5,5297567853,"""Nice 2/1 Rent to Own Ranch with Shed $2","000down/$600/mo""",350,3, ,Canton,,,,23.12911,113.264385,2015-11-19 22:55:24.027778,2015-11-19 22:55:24.027778
482, ,Nov 5,5296508761,WE ARE MOVERS!!!!!!!!!!!! 3 hours for $350,550,2, ,Canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:24.165162,2015-11-19 22:55:24.165162
483, ,Nov 5,5255817670,New! Rent to Own Home w/Garage $2000down/$550mo.,550,3, ,Canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:24.293862,2015-11-19 22:55:24.293862
484, ,Nov 5,5288632325,Move In!! Great 2/1.5 Rent to Own Ranch $3Kdown/$550mo.,375,2, ,Canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:24.426275,2015-11-19 22:55:24.426275
485, ,Nov 5,5288633250,Nice 2/1 Apartment Convenient Location Close to Rt77,850,1, ,North,Ohio,,,,40.3838118,-81.1085744,2015-11-19 22:55:24.554101,2015-11-19 22:55:24.554101
486, ,Nov 5,5288635034,Great Location! Nice 3/1 Home with 2+ Car Garage in Greentown,850,3,1170,Uniontown,Ohio,,,,40.9750568,-81.4081673,2015-11-19 22:55:24.682687,2015-11-19 22:55:24.682687
487, ,Nov 5,5288639244,Super Nice 2/1 House for Rent $1000down/$850month,850,2, ,North,Ohio,,,,40.3838118,-81.1085744,2015-11-19 22:55:24.806899,2015-11-19 22:55:24.806899
488, ,Nov 5,5290347656,Great Location Large 3/1 Home with 2 Car Garage for Rent,550,1, ,Canton,Ohio,,,,40.7989473,-81.378447,2015-11-19 22:55:24.935811,2015-11-19 22:55:24.935811
489, ,Nov 5,5290345188,Rent to Own this 2/1 Home with Garage on Double Lot,550,2,1200,SPRINGFIELD,Ohio,,,,39.9242266,-83.8088171,2015-11-19 22:55:25.064069,2015-11-19 22:55:25.064069
490, ,Nov 5,5298025191,$550 / 1br - Appartment 550$ to 850$ Month ( City Stow),850,3,980,AKRON,Ohio,,,,41.0814447,-81.5190053,2015-11-19 22:55:25.192205,2015-11-19 22:55:25.192205
491,1216 Nordica,Nov 5,5276203015,3-BDR CAPE COD FOR RENT,575,2, ,akroncanton,Ohio,,,,40.4172871,-82.907123,2015-11-19 22:55:25.330054,2015-11-19 22:55:25.330054
492, ,Nov 5,5292361853,2-bedroom renovated twinplex for rent,550,2, ,Sandy,Ohio,,,,40.6152229,-81.3619402,2015-11-19 22:55:25.471959,2015-11-19 22:55:25.471959
493, ,Nov 5,5298091169,$550 / 1br - Appartment 550$ to 850$ Month ( City Stow),675,1,652,Canton/Jackson,Ohio,,,,40.8124793,-81.483627,2015-11-19 22:55:25.626775,2015-11-19 22:55:25.626775
494, ,Nov 5,5301525225,2 Bdrm 1bath Back Brick Duplex,599,2,1400,JACKSON,Ohio,,,,39.0520169,-82.6365536,2015-11-19 22:55:25.754362,2015-11-19 22:55:25.754362
495, ,Nov 5,5296706443,Lovley Energy Efficient home for Rent,615,2, ,Streetsboro,Ohio,,,,41.2392227,-81.3459405,2015-11-19 22:55:25.88641,2015-11-19 22:55:25.88641
496, ,Nov 5,5298105016,Receive $100 Off First Month's Rent! Apply & Secure an Apt Today!!,615,2, ,massillon,Ohio,,,,40.7967244,-81.5215093,2015-11-19 22:55:26.023015,2015-11-19 22:55:26.023015
497, ,Nov 5,5285868311,Great Location! Awesome Specials! $100 Off First Month's Rent!,740,2, ,Jackson,Ohio,,,,39.0520169,-82.6365536,2015-11-19 22:55:26.152907,2015-11-19 22:55:26.152907
498, ,Nov 5,5261141345,"""""""FALL"""" Over to a Great Special Today!!!!""",550,5, ,Canton/Jackson,Ohio,,,,40.8124793,-81.483627,2015-11-19 22:55:26.282428,2015-11-19 22:55:26.282428
499, ,Nov 5,5301510952,Perry Twp. LARGE 2br/1bath Townhouse,615,"","",Canton/Jackson,Ohio,,,,40.8124793,-81.483627,2015-11-19 22:55:26.416439,2015-11-19 22:55:26.416439
500, ,Nov 5,5259637265,$100 Off First Month's Rent and 13th Month FREE- Call For Details!,615,"","",East,Ohio,,,,40.6946535,-80.9539475,2015-11-19 22:55:26.580579,2015-11-19 22:55:26.580579
501,"",Nov 5,5298126678,$100 Off 1st Month's Rent - 13th Month Free! Ends Soon!,615,"","","",Ohio,,,,40.4172871,-82.907123,2015-11-19 22:55:26.712718,2015-11-19 22:55:26.712718
502,"",Nov 5,5291085069,Call Today! $100 Off First Month's Rent & 13th Month FREE!!,600,"","","",Ohio,,,,40.4172871,-82.907123,2015-11-19 22:55:26.847837,2015-11-19 22:55:26.847837
503,"",Nov 5,5301474169,** Firestone Prk -- Inman St Large 5 Bd $ 600 **,"","","","",Ohio,,,,40.4172871,-82.907123,2015-11-19 22:55:26.984635,2015-11-19 22:55:26.984635
504,Address,Date,Listing_ID,Listing_Title,Price,Bedrooms,Square_Ft,City,State,,,,,,2015-11-19 22:55:27.131504,2015-11-19 22:55:27.131504
505, ,Nov 5,5298227757,"""Hillside In Americus"," Ga. Has 1 Bedroom Availible! Special deal !!""",485,1,576,Americus,,,,40.7758723,-72.9615681,2015-11-19 22:55:27.303875,2015-11-19 22:55:27.303875
506, ,Nov 5,5288878500,Cat friendly.,1199,3,1418,Danielsville,Georgia,,,,34.1242771,-83.2212629,2015-11-19 22:55:27.433684,2015-11-19 22:55:27.433684
507, ,Nov 5,5257026961,"""2 Story"," 3 Bedroom House..save $$""",1149,3,1351,Long,,,,38.0352687,-78.4598753,2015-11-19 22:55:27.634378,2015-11-19 22:55:27.634378
508,522 10th,Nov 5,5295343159,1bedroom 1 bath duplex fore rent near Palmyra,300,1, ,albanyga,Georgia,,,,31.598499,-84.161053,2015-11-19 22:55:27.763028,2015-11-19 22:55:27.763028
509,522 10th Avenue,Nov 5,5301588699,1 bedroom 1bath in Albany Ga,300,1, ,albanyga,Georgia,,,,31.598499,-84.161053,2015-11-19 22:55:27.917025,2015-11-19 22:55:27.917025
510, ,Nov 5,5297061492,146 Dadford Drive,1400,5,2717,Lee,Georgia,,,,31.8128435,-84.1435136,2015-11-19 22:55:28.064285,2015-11-19 22:55:28.064285
511, ,Nov 5,5289127120,1027 Summit Drive,1250,3,2114,NW,Georgia,,,,32.1656221,-82.9000751,2015-11-19 22:55:28.21266,2015-11-19 22:55:28.21266
512, ,Nov 5,5290818006,1209-A Baker Ave,495,2,785,Albany,Georgia,,,,31.5785074,-84.155741,2015-11-19 22:55:28.349391,2015-11-19 22:55:28.349391
513, ,Nov 5,5275134976,705-F West Society,250,1,472,Albany,Georgia,,,,31.5785074,-84.155741,2015-11-19 22:55:28.469346,2015-11-19 22:55:28.469346
514, ,Nov 5,5287546943,111 Cherokee Ave,800,3,1000,Lee,Georgia,,,,31.8128435,-84.1435136,2015-11-19 22:55:28.594111,2015-11-19 22:55:28.594111
515, ,Nov 5,5260093146,2933 Stonewater Drive,950,3,1313,SW,Georgia,,,,32.1656221,-82.9000751,2015-11-19 22:55:28.732302,2015-11-19 22:55:28.732302
516, ,Nov 5,5277017328,502 Haley St.,525,3,1100,Albany,Georgia,,,,31.5785074,-84.155741,2015-11-19 22:55:28.855289,2015-11-19 22:55:28.855289
517, ,Nov 5,5290824973,1419 Gillespie Ave,400,2,735,Albany,Georgia,,,,31.5785074,-84.155741,2015-11-19 22:55:28.987854,2015-11-19 22:55:28.987854
518, ,Nov 5,5296554889,705-G Society Ave,250,1,472,Albany,Georgia,,,,31.5785074,-84.155741,2015-11-19 22:55:29.111845,2015-11-19 22:55:29.111845
519, ,Nov 5,5296538710,4807 Mustang Drive,575,3,1008,Putney,Georgia,,,,31.4701766,-84.117684,2015-11-19 22:55:29.236114,2015-11-19 22:55:29.236114
520, ,Nov 5,5296508522,2609 Lansing Drive,1400,3,2621,NW,Georgia,,,,32.1656221,-82.9000751,2015-11-19 22:55:29.371577,2015-11-19 22:55:29.371577
521, ,Nov 5,5276674746,618 E College Ave,500,4, ,Doerun,Georgia,,,,31.3196267,-83.9171221,2015-11-19 22:55:29.495521,2015-11-19 22:55:29.495521
522, ,Nov 5,5281286200,Spacious One Bed With In-Home Washer & Dryer!,400,1, ,Albany,Georgia,,,,31.5785074,-84.155741,2015-11-19 22:55:29.620256,2015-11-19 22:55:29.620256
523,"""120 Lonnie Lane Americus"," Ga.""",Nov 5,5298212761,"""2Bedroom 1Bath available for Lease in Americus"," Ga. @ Hillside Apts. !""",625,2,864,,,,32.0661447,-84.2087097,2015-11-19 22:55:29.74623,2015-11-19 22:55:29.74623
524, ,Nov 5,5301484435,Move in Special this week at Hillside in Americus!!,485,1,576,Americus,Georgia,,,,32.0723861,-84.2326876,2015-11-19 22:55:29.870327,2015-11-19 22:55:29.870327
525, ,Nov 5,5301382322,Beautiful brick home for rent December 1st,850,4,2400,Ashburn,Georgia,,,,31.7060134,-83.653224,2015-11-19 22:55:29.993507,2015-11-19 22:55:29.993507
526, ,Nov 5,5301341193,GET MOVED IN BEFORE THE HOLIDAYS!!!! MOVE IN SPECIAL!!,530,2, ,Albany,Georgia,,,,31.5785074,-84.155741,2015-11-19 22:55:30.116953,2015-11-19 22:55:30.116953
527, ,Nov 5,5295586807,Take Advantage of Our Low Rates! Reserve Your Apartment Home Today & Save!,397,1, ,Rent-To-Own,Georgia,,,,32.1656221,-82.9000751,2015-11-19 22:55:30.245111,2015-11-19 22:55:30.245111
528, ,Nov 5,5301267429,☲ Hurry Up! Bright ONE BEDROOM one BATHROOM Home! Tons of Light! ☲,520,2, ,Albany,Georgia,,,,31.5785074,-84.155741,2015-11-19 22:55:30.378367,2015-11-19 22:55:30.378367
529, ,Nov 5,5255029331,Ample Two Bed With In-Home Dryer & Washer!,750,3,1664,Albany,Georgia,,,,31.5785074,-84.155741,2015-11-19 22:55:30.560749,2015-11-19 22:55:30.560749
530, ,Nov 4,5281044511,Three BR & two-and-a-half bathroom - Will go quickly!,770, , ,Albany,Georgia,,,,31.5785074,-84.155741,2015-11-19 22:55:30.691547,2015-11-19 22:55:30.691547
531, ,Nov 4,5267691392,"""Outdoor Space"," Purchase Home of your Choice Single level""",825,3,1504,Andersonville,,,,32.2215909,-84.2307857,2015-11-19 22:55:30.836123,2015-11-19 22:55:30.836123
532, ,Nov 4,5300547589,3 Bedroom TWO Bathrooms W/many Upgrades,720, , ,Albany,Georgia,,,,31.5785074,-84.155741,2015-11-19 22:55:30.964978,2015-11-19 22:55:30.964978
533, ,Nov 4,5289820242,"""Fast Private Money Mortgage Loans", No Credit Remodeled Gorgeous," Built In Microw""",620, , ,,,,,,2015-11-19 22:55:31.093362,2015-11-19 22:55:31.093362
