Address,Date,Listing_ID,Listing_Title,Price,Bedrooms,Square_Ft,City,State,CL_regionZip_code
 ,Oct 26,5286025178,COME SEE WHY WE ARE THE BEST !,1235,3,1251,Chico,California,chico
 ,Oct 26,5275766656,1443 W. 7th St. #5 **Small Studio**,435,4, ,Degarmo Dog Park and Shasta School Area,California,chico
 ,Oct 26,5276883135,1927 Salem,975,3, ,Chico,California,chico
 ,Oct 26,5248089508,151 W. 2nd St. (Hamilton City),1000,4, ,Chico,California,chico
 ,Oct 26,5256614116,Look No Further! Awesome 3 Bedroom Apt.,850,1, ,chico,California,chico
1301 Sheridan Avenue,Oct 26,5266080931,1421 Park Avenue,1000,2, ,1301 Sheridan Avenue,California,chico
 ,Oct 26,5286037751,HOUSE FOR RENT QUINCY,1400,2,825,Chico,California,chico
1047 Mechoopda St,Oct 26,5285982993,Great upstairs 2 bedroom coming soon!,1165,3, ,1047 Mechoopda St,California,chico
 ,Oct 26,5285966036,Available Now! W/D in Every Apt! Open 7 Days a week,1135,1, ,Chico,California,chico
 ,Oct 26,5286009078,AVAILABLE NOW !,1000,2, ,Hamilton City,California,chico
 ,Oct 26,5285997875,Butte Creek Canyon,1800,3,1184,"Chico Mall area, 3 Miles to Chico State",California,chico
318 legacy Ln,Oct 26,5276963190,One of Chico's Newest! Open Everyday! We Love Your Pets! W/D in Apt!,1395,3,1741,318 legacy Ln,California,chico
1314 Roycroft Ln.,Oct 26,5267618424,4bd 2ba House 1260 Glenshire Lane,1600,3,1250,1314 Roycroft Ln.,California,chico
1467 Manzanita Ave,Oct 26,5247903027,Beautiful 3bd 2ba house 364 Idyllwild Circle,1650,4,1950,1467 Manzanita Ave,California,chico
 ,Oct 26,5259743909,4bd 2ba House 1010 Neal Dow Avenue,1600,1, ,Chico,California,chico
1332 Sunset Ave,Oct 26,5269218139,ONE BEDROOM APARTMENT,770,3,1180,1332 Sunset Ave,California,chico
 ,Oct 26,5253620922,TWO BEDROOM APARTMENTS,955,2,1100,Oroville,California,chico
 ,Oct 26,5268282263,"2 bed, 1 1/2 bath apts 2 blocks to CSUC",810,1,196,Chico,California,chico
 ,Oct 26,5285974528,3bd 2ba House 625 Victorian Park Drive,1600,3,1643,Whitmore,California,chico
 ,Oct 26,5243726257,"1 roommate needed for a classic, cozy, chico home!",480,3,1423,Chico/CSUC/Butte,California,chico
1048 WARNER ST.,Oct 26,5278335304,Two Bedroom Home Starting At $899/mo Call For Appt!,899,4, ,1048 WARNER ST.,California,chico
 ,Oct 26,5276962207,Available Now! W/D in Every Apt! Open 7 Days a week,1135,2, ,ORLAND,California,chico
 ,Oct 26,5267851914,Amber Grove and pet friendly!,1800,2,850,Chico/CSUC/Butte,California,chico
 ,Oct 26,5256922618,BRAND NEW CRAFTSMAN!,1995,2, ,oroville,California,chico
 ,Oct 26,5256265345,Home near Pleasant Valley High/Marigold,1750,4,1200,Oroville,California,chico
 ,Oct 25,5285471226,SPRING SEMESTER 1 Bed/1Bath 6th & Ivy,675,4, ,Paradise CA,California,chico
 ,Oct 25,5285426540,Cute house in the Avenues,1300,1,550,Paradise,California,chico
 ,Oct 25,5285354762,"2 bed, 1 bath",875,2,448,Magalia,California,chico
 ,Oct 25,5285347132,Room for rent $550 per month,550,3,1530,Chico/CSUC/Butte,California,chico
887 Lindo Lane,Oct 25,5252675725,Amazing Brand new home for rent,1650,4, ,887 Lindo Lane,California,chico
 ,Oct 25,5285150805,Magnificent THREE Bdr TWO Bath...recently Built Home,865,3,1734,Oroville,California,chico
 ,Oct 25,5285226103,"WE DO SHORT TERM LEASES, Furnished units on SPECIAL next to CSUC",495,3, ,Chico,California,chico
 ,Oct 25,5285166968,SPACIOUS STUDIO 2 BLOCKS FROM CSUC,575, , ,southside,California,chico
 ,Oct 25,5285155918,2 BEDROOM HOUSE 2 BLOCKS FROM CSUC,850,1, ,oroville,California,chico
 ,Oct 25,5251980185,GARDEN STYLE APARTMENTS WITH POOL,725,3,1000,Oroville,California,chico
2610 Nord Ave,Oct 25,5284982845,"SHORT TERM LEASES Now Available! Fully Furnished, Close to BUTTE/ CSUC",595,3,1000,2610 Nord Ave,California,chico
904 14th street,Oct 25,5284842859,Four bedroom two bath Downtown Oroville,1000,3,1000,904 14th street,California,chico
450 Highway 99 West Maxwell Ca,Oct 25,5284800308,Linemen College Rental,500, , ,450 Highway 99 West Maxwell Ca,California,chico
240 Sacramento Ave #6 Hamilton City CA,Oct 25,5266645939,Room For Rent NEAR CAMPUS,435,2,470,240 Sacramento Ave #6 Hamilton City CA,California,chico
,Oct 25,5284766625,Be the FIRST,800,2,840,,California,chico
,Oct 25,5284659635,"2 bedroom, 1 bath single wide",585,,,,California,chico
,Oct 25,5255930917,Clean 3bd 2ba pet friendly Magalia home.,1100,,,,California,chico
,Oct 25,5284614448,Huge 2BR/1BA Double Occupancy Unit Open at Craig Hall Student Living!,475,,,,California,chico
,Oct 25,5284598174,Beautiful Three Bedroom Home with HUGE Backyard and Covered Patio,1550,,,,California,chico
,Oct 25,5284604770,"3 bed, 1 bath quiet location",1100,,,,California,chico
,Oct 25,5266647083,Studio large : polished concrete floors,900,,,,California,chico
,Oct 25,5284601891,1 bedroom lease takeover,930,,,,California,chico
,Oct 25,5240611083,3/2 Home in Oroville with Hardwood floors,900,,,,California,chico
,Oct 25,5253172098,3/1 Oroville Home Hardwood floors,900,,,,California,chico
,Oct 25,5258988607,3/1 Oroville Home large corner lot,900,,,,California,chico
,Oct 25,5284578170,Commercial & Industrial Building,550,,,,California,chico
,Oct 25,5265260532,Rv for rent near NLC,650,,,,California,chico
,Oct 24,5259789962,Affordable Living! Poor Credit OK! Quiet Park! Recent Remodel!,539,,,,California,chico
,Oct 24,5246336806,Brand New Mfg Home! Poor Credit OK! New Park Mgmt! Last 2 Homes Avail!,899,,,,California,chico
